Set,Price_Euro,Pieces,Minifigs
Corner Garage,179.99,2569,6.0
Ford Mustang,169.99,1471,NaN
NASA Apollo 11 Lunar Lander,99.99,1087,2.0
Gingerbread House,89.99,1477,2.0
Harley-Davidson Fat Boy,89.99,1023,NaN
Woody & RC,9.74,69,1.0
Duke Caboom's Stunt Show,19.49,120,2.0
Buzz and Bo Peep's Playground Adventure,24.36,139,3.0
RV Vacation,34.11,178,3.0
Buzz & Woody's Carnival Mania!,49.99,230,5.0
Carnival Thrill Coaster,19.49,98,2.0
My First Tow Truck,9.74,11,NaN
My First Balancing Animals,14.61,15,NaN
My First Fun Puzzle,19.49,15,NaN
My First Car Creations,19.99,34,NaN
Creative Fun,34.99,120,1.0
Mickey's Vacation House,48.73,57,3.0
Spider-Man vs. Electro,19.99,29,2.0
Toy Story Train,19.99,21,2.0
Emmet and Lucy's Visitors from the DUPLO Planet,29.99,53,2.0
My First Minnie Build,9.99,10,NaN
My First Mickey Build,9.74,9,NaN
Frozen Ice Castle,49.99,59,3.0
Police Bike,9.99,8,1.0
Fire Truck,19.99,21,2.0
Police Station,29.99,38,3.0
Fire Station,49.99,76,2.0
Baby Animals,9.74,9,NaN
Tropical Island,59.99,73,3.0
World Animals,99.99,121,6.0
Plane,9.99,12,1.0
Submarine Adventure,19.99,24,2.0
Bricks and Ideas,9.99,123,NaN
Basic Brick Set,19.99,300,NaN
Bricks and Eyes,29.23,451,NaN
Windows of Creativity,29.23,450,NaN
Creative Fun,34.11,900,NaN
Star Wars: Build Your Own Adventure Galactic Missions parts,NaN,66,1.0
The Book of Bedtime Builds parts,NaN,68,NaN
Harry Potter: Build Your Own Adventure parts,NaN,101,1.0
Christmas Ideas parts,NaN,41,NaN
Wooden Minifigure parts,NaN,29,NaN
San Francisco,49.99,565,NaN
Paris,49.99,649,NaN
Trafalgar Square,79.99,1197,NaN
Empire State Building,99.99,1767,NaN
Burj Khalifa,39.99,333,NaN
Minecraft Steve BigFig with Parrot,14.99,159,NaN
Minecraft Alex BigFig with Chicken,14.99,160,NaN
Minecraft Skeleton BigFig with Magma Cube,14.99,142,NaN
The End Battle,19.99,222.0,2.0
The Pirate Ship Adventure,49.99,386.0,3.0
The Wool Farm,19.99,260.0,1.0
The Blaze Bridge,39.99,372.0,4.0
The Creeper Mine,79.99,834.0,4.0
The Flintstones,58.48,748.0,4.0
Steamboat Willie,87.72,751.0,2.0
Tree House,249.99,3036.0,4.0
Central Perk,79.99,1070.0,7.0
Dinosaur Fossils,59.99,910.0,2.0
My First Duck,NaN,6.0,NaN
Town Rescue - {Random Bag},NaN,NaN,NaN
Town Rescue - Bird,NaN,NaN,NaN
Town Rescue - Fireman,NaN,NaN,NaN
Town Rescue - Cat,NaN,NaN,NaN
Town Rescue - Policewoman,NaN,NaN,NaN
Town Rescue - Dog,NaN,NaN,NaN
Emmet's 'Piece' Offering,3.99,44.0,1.0
Fire ATV,NaN,39.0,1.0
Sky Police Jetpack,NaN,33.0,2.0
Race Boat,3.99,34.0,1.0
Popcorn Cart,NaN,43.0,1.0
Space Satellite,NaN,36.0,1.0
Naboo Starfighter,NaN,48.0,NaN
Snowspeeder,NaN,49.0,NaN
Minecraft Steve and Creeper Set,NaN,36,2.0
Tulips,NaN,90,NaN
Emma's Bumper Cars,3.99,66,1.0
Mia's Water Fun,NaN,28,1.0
Spider-Man's Mini Spider Crawler,NaN,73,1.0
Iron Man and Dum-E,NaN,38,1.0
Rex's Plantimal Ambush,3.89,32,1.0
Podracer,NaN,58,NaN
Lucy vs. Alien Invader,NaN,44,1.0
Mini Master-Building MetalBeard,NaN,42,1.0
Mini Master-Building Emmet,3.89,49,1.0
Sam-X,NaN,56,NaN
Ninja Workout,NaN,31,1.0
Fire Flight,NaN,54,1.0
Fish Free Builds - Make It Yours,NaN,39,NaN
Elsa's Winter Throne,3.99,42,1.0
Pelican,3.89,62,NaN
Race Car,3.99,68,NaN
Santa,NaN,67,NaN
Star-Stuck Emmet,NaN,41,1.0
SHAZAM!,NaN,5,1.0
Obi-Wan Kenobi - Collectable Minifigure,NaN,12,1.0
Futuristic Flyer,14.61,157,NaN
Dune Buggy,12.66,147,NaN
Deep Sea Creatures,14.99,230,NaN
Sunset Track Racer,19.99,221,NaN
Underwater Robot,19.99,207,NaN
Shuttle Transporter,24.36,341,NaN
Helicopter Adventure,9.74,114,NaN
Riverside Houseboat,29.99,396,2.0
Race Plane,29.23,333,1.0
Fairground Carousel,48.73,595,3.0
Twin-Rotor Helicopter,48.73,569,1.0
Townhouse Pet Shop & Café,79.99,969,3.0
Outback Cabin,29.23,305,2.0
Year of the Pig,NaN,152,NaN
MSC Cruises,NaN,181,NaN
Jet Fighter,NaN,23,NaN
Caterpillar,NaN,48,NaN
Viking Ship,NaN,54,NaN
Ladybird,NaN,27,NaN
Crane,NaN,64,NaN
Frog,NaN,39,NaN
Ice Cream Truck,NaN,48,NaN
Racing Car,NaN,50,NaN
Eagle,NaN,56,NaN
UFO,NaN,36,NaN
Wolf,NaN,47,NaN
Penguin,NaN,47,NaN
Battle of Hoth - 20th Anniversary Edition,NaN,195,NaN

